DATE_TIME,POST
2024-03-23 01:41:09,이강인 대국민사과 때 보면 그냥 손흥민은 진짜 이해가 안됨
2024-03-23 01:41:02,놀라운건 이게 모두
2024-03-23 01:41:01,창민이 요즘 제어가 안되는거 같다
2024-03-23 01:40:59,누가 더 잘생겼는지 평가좀
2024-03-23 01:40:51,헷갈리게 하는 여사친 만나고 왔는데..txt
2024-03-23 01:40:36,박지성은 오히려 은퇴하고 더 고평가 받는듯
2024-03-23 01:40:35,대버지 ㄹㅇ 레전드 짤.gif
2024-03-23 01:40:17,예전에 선배 이준기가 후배 김수현 별그대 극찬하더라
2024-03-23 01:39:52,이번 유니폼 저번보단 낫지않냐?
2024-03-23 01:39:49,근데 손흥민 재계약 바로 안하는거 보면 고민 되기도 하는듯
2024-03-23 01:39:42,창민이 이제 카매라 많은데서도 승질부리노
2024-03-23 01:39:28,클린스만 팝스타 발언도 솔직히 긁혔지
2024-03-23 01:39:15,이강인은 박지성이랑 비슷하면서도 다름
2024-03-23 01:39:08,축튜버 국대 세대교체 말 안하는거 역겨움
2024-03-23 01:39:01,음바페가 개쓰레기라니까 강인이 어시 다 날려먹고
2024-03-23 01:38:46,자기가 퇴물이라는걸 인정하고 넘겨줘야지
2024-03-23 01:38:43,아시안컵 우승했으면 클린스만 짜를 수 없었을테니
2024-03-23 01:38:34,유벤투스는 예전유니폼이 예쁜거같지않냐?
2024-03-23 01:38:30,해외언론들이 김민재 억까하는이유 
2024-03-23 01:38:24,근데 빠까 거르고 31세 이상은 진짜 이제 다 쳐내야 함
2024-03-23 01:38:23,6만 5천 관중앞에서 태국에게 비겼는데도
2024-03-23 01:38:22,이강인이 토탈 루저인 이유..
2024-03-23 01:38:04,기회창출을 그렇게 많이 하면 어시가 10개는 넘어야 하능거 아님?
2024-03-23 01:37:53,손흥민  오늘 설영우 한테 공항에서 손버릇봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-23 01:37:23,손흥민이 재매이햄보다 잘생김???
2024-03-23 01:36:43,한녀<<< 솔직히 이쁨
2024-03-23 01:36:40,클린스만 날라간 게 가장 아까워
2024-03-23 01:36:36,앰창단은 아직도 정신승리 왜함? 토트넘갤 5060빼곤 다등돌림
2024-03-23 01:36:18,손흥민 오늘 골 넣으면 손까들 아닥 가능?
2024-03-23 01:36:16,[퇴갤] 일본 ← 한국에 15승 23무 42패 강간당한 창녀 ㅋㅋㅋㅋ
2024-03-23 01:35:54,박지성이 얼마나 대단한사람이냐하면
2024-03-23 01:35:44,진짜 간절하면 성격도 죽이게 되어있다
2024-03-23 01:35:19,정준영 범죄때문에 해외못나가지않냐?
2024-03-23 01:35:14,흥민매직 진짜있네
2024-03-23 01:35:10,박지성 인품은 그냥 전세계 원탑임
2024-03-23 01:35:09,이강인의 멘토가 박지성이었어야
2024-03-23 01:34:49,이강인팬들 지금 미쳐 있는 이유 뭔가여?ㅋㅋㅋㅋㅋ
2024-03-23 01:34:38,기점까지 포함하면 이강인이 손흥민 넘은지 오래지
2024-03-23 01:34:23,흥흥이 조만간 사고치는거 아님?
2024-03-23 01:34:09,"희생 코스프레, 헌신 코스프레 ㅋㅋ"
2024-03-23 01:34:07,노땅들의 정치에 다음 월드컵도 망한게 드러난 태국전.
2024-03-23 01:34:06,찬밥이는 언젠간 해축갤에게 고마울 날이 올거다
2024-03-23 01:34:05,■결국 이강인인 중심으로 가게 되어있음...jpg ㅋㅋㅋㅋㅋㅋ
2024-03-23 01:33:46,손흥민  오늘 설영우 한테 공항에서 손버릇봐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-03-23 01:33:45,사고 많이 친 기성용도 이 정도는 아니였는데
2024-03-23 01:33:43,솔직히 나같은 국뽕들은 실력도 실력이지만
2024-03-23 01:33:40,해충갤 강인빠들만 있네
2024-03-22 13:59:59,이강인 잘했는지 볼려면 여시반응보면된다.
2024-03-22 13:59:58,손흥민이 리버풀갔음 마네급 평가받았음?
2024-03-22 13:59:51,"즐라탄,아자르 등 호날두보다 위라 우기는 놈들"
2024-03-22 13:59:49,공격 축구의 달인 맨시티의 히트맵을 살펴보자
2024-03-22 13:59:42,앰창단은 개찬밥한테만 엄격하노ㅋㅋㅋㅋ
2024-03-22 13:59:39,이젠 하다하다 무생물 탓을 하고있음 ㅋㅋ
2024-03-22 13:59:24,김민재 인테르 ㄷㄷ
2024-03-22 13:59:15,좃강인은 왜 스텟을 못찍는거냐????
2024-03-22 13:59:10,어제 이강인 골넣고 손흥민 ㅈ박았냐??
2024-03-22 13:58:53,지금 축구판 돌아가는 꼴이 한국 현주소를 보여주는거지
2024-03-22 13:58:52,리춘수는 괜히 정치를 시작해서 유튜브조회수 쌉창낫네
2024-03-22 13:58:51,난 진짜 ㅋㅋ
2024-03-22 13:58:49,좃강인은 왜 스텟을 못찍는거냐????
2024-03-22 13:58:47,진짜 손뽕들은 태국전 골 넣고 좋아함?
2024-03-22 13:58:34,손흥민도 배달의 민족에서 배달 시켜먹음?
2024-03-22 13:58:24,좃강인은 왜 스텟을 못찍는거냐????
2024-03-22 13:58:19,노괴민 언제 은퇴하노
2024-03-22 13:58:12,어제 창민이가 골 넣은 이유
2024-03-22 13:57:55,좃강인은 왜 스텟을 못찍는거냐????
2024-03-22 13:57:41,황선홍 이색히가 노인정을 만들었네.
2024-03-22 13:57:34,근데 진짜 한국국대 세대교체해야함 ㄹㅇ
2024-03-22 13:57:26,밥창견들 질투거리는거 본인들한테 하는 말이었노 ㅋㅋㅋㅋ
2024-03-22 13:57:22,완장 패대기 개창두가 했으면 스포츠뉴스에 그것만 도배됨 ㅋㅋ
2024-03-22 13:57:19,손흥민 언제은퇴하냐
2024-03-22 13:57:04,손흥민 vs 박찬호 인기 설문조사
2024-03-22 13:57:00,우리 강인이는 너무 착해서 문제임
2024-03-22 13:56:46,해외에서 이강인은 월클이라고 한적 있음?
2024-03-22 13:56:34,"정우영, 설영우, 백승호로 세대교체할빠에 35살 월드컵보내야함"
2024-03-22 13:56:28,펙트) 좃강인은 태국상대로도 골 못넣음 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-22 13:56:27,진지하게 황인밤 이색히 말고 다른 미들 없냐?
2024-03-22 13:56:26,날두가 완장 던졌을땐 뒤지게 까더니ㅋㅋㅋ
2024-03-22 13:56:18,손뽕이지만 이강인이 대단하긴 하다 ㅇㅇ
2024-03-22 13:55:38,완장논란 하나도 안되는거 보고 걍 끝낫다 생각함
2024-03-22 13:55:29,이강인 정도면 파리에서 아파트 지을수잇음?
2024-03-22 13:55:22,손나은 근황
2024-03-22 13:55:20,10cm 노래중에서 요기서 뭐가 젤 명곡이냐?
2024-03-22 13:55:14,주장완장도 집어던지고 인생도 집어던지 새끼
2024-03-22 13:55:07,완장 환장
2024-03-22 13:54:56,앰창민 국가대표 클럽 클린스만이 문제라고??렉카병신들
2024-03-22 13:54:55,지 개인스텟딸 칠거면 축구를 왜하노?
2024-03-22 13:54:45,펙트) 좃강인은 태국상대로도 골 못넣음 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-22 13:54:43,파리는 딤시즌부터 빅클럽이란 단어 쓰지도 못할듯
2024-03-22 13:54:35,순수실력도 살라>케인 맞지?
2024-03-22 13:54:29,아컵 끝나고 갤에서 황인범 존나 까면서 념글보낼때
2024-03-22 13:54:28,팩트) 손흥민 빼고 이강인보다 축구 잘하는 선수 없다
2024-03-22 13:53:44,펙트) 좃강인은 태국상대로도 골 못넣음 ㅋㅋㅋㅋㅋㅋㅋ
2024-03-22 02:19:05,밥줌마들은 지들욕하면 엠창민 팬인줄 암
2024-03-22 02:19:04,김민재 김영권이랑 사이 별로인거 느껴짐
2024-03-22 02:19:00,패대기사건 ㄷㄷㄷ
2024-03-22 02:18:31,눈깔 달려있고 경계성 아닌이상
2024-03-22 02:18:16,박지성이였으면 탁구칠때 뭐라고했을까?
2024-03-22 02:18:13,슬슬 황의조도 폼보고 오지않겟나?.jpg
2024-03-22 02:18:03,이강인이 손들고 뛰댕기면
2024-03-22 02:18:02,저 비유가 맞는듯.
2024-03-22 02:17:58,조규성 얼굴 관리한다고 왜 깠냐 씨발련들아 
2024-03-22 02:17:54,탁구멱살사건 나만 아직도 몰카같냐?
2024-03-22 02:17:49,이근호만 욕하면 다행아님? 가족찾아가는놈들인데
2024-03-22 02:17:46,원래 이강인없이 딱 태국정도는 좆발라줘야 그분들께 최상의시나리온데 ㅋㅋㅋ
2024-03-22 02:17:44,느그흥 골결정력 이란 말도 개웃기지
2024-03-22 02:17:28,그저 팀이 이기는 것만 중요한 새끼
2024-03-22 02:17:30,동남이도 상성인듯
2024-03-22 02:17:19,이강인 성격에 '패스달라고 씹련아' 가능?
2024-03-22 02:17:14,‘국대모드‘란 단어 쓸 수 있는게 이강인 뿐이긴함
2024-03-22 02:17:08,이근호 욕하는 손뽕들 특징
2024-03-22 02:17:04,"손흥민 김진수 ""오늘 이강인 없이 이기는 모습 보여줄것"""
2024-03-22 02:16:53,근데 민짜이는 진짜 폼 이상함
2024-03-22 02:16:46,카메라에 대국민사과박고 아컵 역적되고
2024-03-22 02:16:19,맹구가 인기가 굉장히 많은팀이라던데 ㄹㅇ이냐?
2024-03-22 02:16:09,이강인+밥줌 이새끼들 등장이후 해축갤이 피곤해지고 짜증 몰려옴
2024-03-22 02:16:02,ㅅㅂ 박지성은 숭배를 안할수가 없네
2024-03-22 02:15:48,젖닌들도 최소한
2024-03-22 02:15:41,강인이가 무시알라급 실력이였으면
2024-03-22 02:15:32,김연권 김진수는 K리그딱이 자존심읕 왤케쌤???
2024-03-22 02:15:24,걍 10 우루과이전만 봐도 박지성은
2024-03-22 02:15:18,근데 태국전 끝나고 이 댓글 뭐임?
2024-03-22 02:15:08,세대교체하고 클린스만 다시 불러 와라 
2024-03-22 02:15:05,축구선수여론이 얼마나 가겠냐 . 축구선수 나부랭이
2024-03-22 02:14:56,김영권 김진수는 그 실력으로 보이콧을 ㅅㅂ ㅋㅋ
2024-03-22 02:14:33,아니 뭘잘했는데
2024-03-22 02:14:22,"밥줌마들은 ""리플리 증후군""임 "
2024-03-22 02:14:18,손가락 아파하는 흥민이 ㅠㅠㅠ.gif
2024-03-22 02:14:01,조규성 다시 잘생겨질순없냐
2024-03-22 02:13:40,26분뛴 찬밥이가 여론먹어서 폐닭들 하혈중
2024-03-22 02:13:30,이강인 진짜 존나잘하더라 ㄹㅇ
2024-03-22 02:13:26,우리나라에서 가장 저평가 받는 대통령 둘이
2024-03-22 02:13:25,흥민은퇴하자 국대는 조규성 찬밥이에게 맡겨다오
2024-03-22 02:13:23,내가 말했었지?
2024-03-22 02:13:15,조규성 요즘 얼마나 심각하길래 안주고 황인범한태 ㄷㄷ
2024-03-22 02:13:06,선배들이 알아서 빠지게 좀 해 봐라
2024-03-22 02:13:03,찬밥단이 이강인 천재라고 우기는 이유
2024-03-22 02:13:00,축구 롤 실시간 배팅 가능한곳!
2024-03-21 22:32:26,근데 펨코 분위기도 확실히 바뀌긴했음 ㅋㅋㅋ
2024-03-21 22:32:25,난 진심궁금한게 손가락 골절도 아닌데 아직도아퍼?
